1 1.41421  0.346574 0.346574
1653 1.77591e+114  163.022 264.305
1654 1.13507e+114  163.082 264.305
1655 7.08614e+113  163.142 264.305
1656 9.80372e+113  163.202 264.305
1657 1.42806e+114  163.262 264.305
1658 9.64367e+113  163.322 264.305
1659 6.17684e+113  163.382 264.305
1660 1.16179e+114  163.441 264.305
1661 1.28807e+114  163.501 264.305
1662 9.66445e+113  163.561 264.305
1663 1.326e+114  163.62 264.305
1664 3.13431e+114  163.681 264.305
1665 3.00977e+114  163.741 264.305
1666 2.53927e+114  163.8 264.305
1667 4.65075e+114  163.86 264.305
1668 1.06227e+115  163.921 264.858
1669 7.53542e+114  163.981 264.858
1670 6.06123e+114  164.041 264.858
1671 1.14516e+115  164.102 264.933
1672 2.03039e+115  164.162 265.506
1673 1.31625e+115  164.223 265.506
1674 6.56989e+114  164.283 265.506
1675 7.10454e+114  164.342 265.506
1676 7.95258e+114  164.402 265.506
1677 5.58269e+114  164.462 265.506
1678 3.3374e+114  164.521 265.506
1679 6.02405e+114  164.58 265.506
1680 6.76401e+114  164.64 265.506
1681 4.9087e+114  164.699 265.506
1682 5.58575e+114  164.758 265.506
1683 1.33148e+115  164.818 265.506
1684 1.75758e+115  164.877 265.506
1685 1.23119e+115  164.937 265.506
1686 1.24667e+115  164.996 265.506
1687 2.97177e+115  165.056 265.886
1688 5.53578e+115  165.116 266.509
1689 3.54044e+115  165.176 266.509
1690 1.83682e+115  165.235 266.509
1691 1.1321e+115  165.294 266.509
1692 2.21407e+115  165.353 266.509
1693 1.94239e+115  165.412 266.509
1694 1.91575e+115  165.471 266.509
1695 4.0916e+115  165.531 266.509
1696 9.79671e+115  165.591 267.079
1697 9.03496e+115  165.651 267.079
1698 7.59599e+115  165.71 267.079
1699 1.37009e+116  165.77 267.415
1700 3.23561e+116  165.83 268.274
1701 2.77698e+116  165.89 268.274
1702 2.3839e+116  165.95 268.274
1703 4.52715e+116  166.011 268.61
1704 9.99266e+116  166.071 269.402
1705 6.53482e+116  166.132 269.402
1706 4.42662e+116  166.192 269.402
1707 6.93077e+116  166.252 269.402
1708 1.09254e+117  166.312 269.491
1709 7.25644e+116  166.373 269.491
1710 4.20023e+116  166.432 269.491
1711 7.02829e+116  166.492 269.491
1712 8.20845e+116  166.552 269.491
1713 5.91306e+116  166.612 269.491
1714 6.60661e+116  166.672 269.491
1715 1.55079e+117  166.732 269.841
1716 1.77071e+117  166.792 269.974
1717 1.35579e+117  166.852 269.974
1718 1.99967e+117  166.912 270.095
1719 4.88214e+117  166.973 270.988
1720 5.99413e+117  167.033 271.193
1721 4.41167e+117  167.094 271.193
1722 5.72195e+117  167.154 271.193
1723 1.41077e+118  167.215 272.049
1724 2.26738e+118  167.276 272.524
1725 1.48295e+118  167.337 272.524
1726 7.60855e+117  167.397 272.524
1727 8.22469e+117  167.457 272.524
1728 1.73293e+118  167.518 272.524
1729 1.30368e+118  167.578 272.524
1730 9.35404e+117  167.639 272.524
1731 1.15121e+118  167.699 272.524
1732 2.72681e+118  167.759 272.708
1733 3.25235e+118  167.82 272.884
1734 2.35228e+118  167.88 272.884
1735 2.69367e+118  167.941 272.884
1736 6.59299e+118  168.002 273.591
1737 1.26838e+119  168.063 274.245
1738 8.04978e+118  168.124 274.245
1739 4.2854e+118  168.184 274.245
1740 2.23802e+118  168.244 274.245
1741 3.91529e+118  168.304 274.245
1742 3.87193e+118  168.364 274.245
1743 3.8311e+118  168.424 274.245
1744 8.15008e+118  168.485 274.245
1745 2.00534e+119  168.546 274.703
1746 2.27547e+119  168.607 274.83
1747 1.74418e+119  168.667 274.83
1748 2.54278e+119  168.728 274.941
1749 6.32972e+119  168.789 275.853
1750 9.91962e+119  168.851 276.302
1751 6.51624e+119  168.912 276.302
1752 3.54392e+119  168.973 276.302
1753 4.8577e+119  169.033 276.302
1754 1.06765e+120  169.095 276.376
1755 8.50552e+119  169.156 276.376
1756 6.3687e+119  169.216 276.376
1757 8.70256e+119  169.277 276.376
1758 2.12223e+120  169.339 277.063
1759 2.97951e+120  169.4 277.402
1760 2.01151e+120  169.461 277.402
1761 1.41924e+120  169.522 277.402
1762 2.88825e+120  169.583 277.402
1763 6.57313e+120  169.645 278.193
1764 5.53947e+120  169.706 278.193
1765 4.25228e+120  169.768 278.193
1766 6.05652e+120  169.829 278.193
1767 1.50808e+121  169.891 279.024
1768 2.54515e+121  169.953 279.547
1769 1.65215e+121  170.014 279.547
1770 8.135e+120  170.076 279.547
1771 3.42037e+120  170.136 279.547
1772 3.9412e+120  170.197 279.547
1773 5.57821e+120  170.258 279.547
1774 4.28884e+120  170.318 279.547
1775 6.63808e+120  170.379 279.547
1776 1.68812e+121  170.44 279.547
1777 4.12208e+121  170.502 280.029
1778 5.40033e+121  170.564 280.299
1779 3.66977e+121  170.625 280.299
1780 2.36558e+121  170.686 280.299
1781 4.27953e+121  170.748 280.299
1782 1.09487e+122  170.81 281.006
1783 2.40225e+122  170.872 281.792
1784 1.8728e+122  170.934 281.792
1785 1.35746e+122  170.996 281.792
1786 1.47983e+122  171.058 281.792
1787 3.62665e+122  171.12 282.204
1788 8.51515e+122  171.182 283.057
1789 8.91665e+122  171.245 283.103
1790 6.46875e+122  171.307 283.103
1791 6.61952e+122  171.37 283.103
1792 1.58424e+123  171.432 283.678
1793 3.94588e+123  171.495 284.591
1794 6.30869e+123  171.559 285.06
1795 4.13295e+123  171.622 285.06
1796 2.15475e+123  171.684 285.06
1797 1.76594e+123  171.747 285.06
1798 4.12322e+123  171.809 285.06
1799 1.00767e+124  171.873 285.528
1800 1.47988e+124  171.936 285.913
1801 9.79489e+123  171.999 285.913
1802 4.87296e+123  172.062 285.913
1803 2.14312e+123  172.124 285.913
1804 2.57689e+123  172.186 285.913
1805 6.47153e+123  172.248 285.913
1806 1.68402e+124  172.311 286.042
1807 4.20894e+124  172.375 286.958
1808 7.91038e+124  172.438 287.589
1809 5.02708e+124  172.502 287.589
1810 3.07501e+124  172.565 287.589
1811 2.7469e+124  172.628 287.589
1812 6.52887e+124  172.691 287.589
1813 1.677e+125  172.755 288.34
1814 3.62686e+125  172.819 289.112
1815 2.73846e+125  172.883 289.112
1816 1.94901e+125  172.947 289.112
1817 1.91878e+125  173.01 289.112
1818 4.60592e+125  173.074 289.35
1819 1.13203e+126  173.139 290.25
1820 1.67673e+126  173.203 290.643
1821 1.11082e+126  173.268 290.643
1822 5.47822e+125  173.331 290.643
1823 2.33248e+125  173.395 290.643
1824 2.51508e+125  173.458 290.643
1825 6.10453e+125  173.521 290.643
1826 1.26404e+126  173.585 290.643
1827 8.48855e+125  173.649 290.643
1828 5.54946e+125  173.713 290.643
1829 3.8792e+125  173.776 290.643
1830 8.34896e+125  173.839 290.643
1831 1.99089e+126  173.903 290.814
1832 2.46556e+126  173.967 291.028
1833 1.69026e+126  174.031 291.028
1834 1.05229e+126  174.094 291.028
1835 1.8144e+126  174.158 291.028
1836 4.67361e+126  174.222 291.668
1837 1.14864e+127  174.286 292.567
1838 1.8072e+127  174.351 293.02
1839 1.18993e+127  174.415 293.02
1840 6.62921e+126  174.479 293.02
1841 7.59497e+126  174.543 293.02
1842 1.88618e+127  174.607 293.063
1843 4.93284e+127  174.672 294.024
1844 1.2836e+128  174.737 294.981
1845 3.18462e+128  174.803 295.889
1846 5.68313e+128  174.869 296.468
1847 3.64258e+128  174.934 296.468
1848 2.26782e+128  175 296.468
1849 2.84564e+128  175.065 296.468
1850 7.14892e+128  175.131 296.698
1851 1.86402e+129  175.197 297.656
1852 4.61781e+129  175.263 298.563
1853 7.9153e+129  175.33 299.102
1854 5.1251e+129  175.397 299.102
1855 3.13528e+129  175.463 299.102
1856 4.18308e+129  175.529 299.102
1857 1.05748e+130  175.596 299.392
1858 2.76132e+130  175.663 300.352
1859 6.95821e+130  175.731 301.276
1860 1.35395e+131  175.798 301.942
1861 8.6437e+130  175.866 301.942
1862 5.25476e+130  175.933 301.942
1863 2.88516e+130  176 301.942
1864 5.26418e+130  176.067 301.942
1865 1.30773e+131  176.135 301.942
1866 2.24472e+131  176.202 302.447
1867 1.44609e+131  176.27 302.447
1868 8.1339e+130  176.337 302.447
1869 8.4412e+130  176.404 302.447
1870 2.07493e+131  176.471 302.447
1871 5.21274e+131  176.539 303.29
1872 9.40762e+131  176.607 303.88
1873 6.00817e+131  176.674 303.88
1874 3.54941e+131  176.742 303.88
1875 3.83727e+131  176.809 303.88
1876 9.4903e+131  176.877 303.889
1877 2.35151e+132  176.945 304.796
1878 3.76193e+132  177.013 305.266
1879 2.46122e+132  177.081 305.266
1880 1.32871e+132  177.149 305.266
1881 1.29334e+132  177.217 305.266
1882 3.13999e+132  177.285 305.266
1883 8.13548e+132  177.353 306.037
1884 1.92198e+133  177.422 306.897
1885 2.37633e+133  177.49 307.109
1886 1.62117e+133  177.559 307.109
1887 8.64207e+132  177.627 307.109
1888 9.64345e+132  177.695 307.109
1889 2.34797e+133  177.764 307.109
1890 5.9908e+133  177.833 308.034
1891 1.39526e+134  177.902 308.879
1892 1.73491e+134  177.971 309.097
1893 1.18309e+134  178.04 309.097
1894 5.79426e+133  178.109 309.097
1895 2.3621e+133  178.177 309.097
1896 1.01778e+133  178.245 309.097
1897 7.31501e+132  178.312 309.097
1898 5.18015e+132  178.379 309.097
1899 6.56344e+132  178.446 309.097
1900 1.28352e+133  178.513 309.097
1901 3.16812e+133  178.581 309.097
1902 7.7181e+133  178.649 309.097
1903 1.48177e+134  178.718 309.097
1904 9.61118e+133  178.786 309.097
1905 6.25789e+133  178.854 309.097
1906 4.36562e+133  178.922 309.097
1907 9.23743e+133  178.99 309.097
1908 2.3483e+134  179.058 309.4
1909 5.55653e+134  179.127 310.261
1910 7.78215e+134  179.195 310.598
1911 5.23483e+134  179.264 310.598
1912 2.89786e+134  179.332 310.598
1913 3.39525e+134  179.4 310.598
1914 8.10682e+134  179.469 310.639
1915 1.76423e+135  179.538 311.417
1916 1.61384e+135  179.607 311.417
1917 1.14181e+135  179.675 311.417
1918 6.58494e+134  179.743 311.417
1919 9.61667e+134  179.812 311.417
1920 2.25255e+135  179.88 311.661
1921 4.22328e+135  179.949 312.29
1922 2.71913e+135  180.018 312.29
1923 1.7978e+135  180.086 312.29
1924 1.72858e+135  180.154 312.29
1925 4.08595e+135  180.223 312.29
1926 1.04028e+136  180.292 313.191
1927 2.44229e+136  180.361 314.045
1928 3.25847e+136  180.431 314.333
1929 2.20429e+136  180.5 314.333
1930 1.14637e+136  180.569 314.333
1931 1.01703e+136  180.638 314.333
1932 2.31115e+136  180.707 314.333
1933 4.90783e+136  180.776 314.742
1934 3.9883e+136  180.845 314.742
1935 2.81723e+136  180.914 314.742
1936 1.72165e+136  180.983 314.742
1937 2.90873e+136  181.051 314.742
1938 7.07229e+136  181.121 315.108
1939 1.47967e+137  181.19 315.846
1940 1.1409e+137  181.259 315.846
1941 7.96438e+136  181.328 315.846
1942 4.40258e+136  181.397 315.846
1943 6.79578e+136  181.466 315.846
1944 1.70255e+137  181.535 315.986
1945 4.18357e+137  181.605 316.885
1946 7.61422e+137  181.674 317.484
1947 4.86184e+137  181.744 317.484
1948 3.11163e+137  181.813 317.484
1949 3.7208e+137  181.882 317.484
1950 9.2411e+137  181.952 317.678
1951 2.41406e+138  182.022 318.638
1952 6.31977e+138  182.093 319.6
1953 1.65397e+139  182.164 320.563
1954 4.3138e+139  182.235 321.521
1955 1.09866e+140  182.307 322.456
1956 2.37584e+140  182.379 323.227
1957 1.89516e+140  182.45 323.227
1958 1.34979e+140  182.522 323.227
1959 1.12507e+140  182.594 323.227
1960 2.52465e+140  182.665 323.288
1961 6.56804e+140  182.738 324.244
1962 1.61978e+141  182.81 325.147
1963 2.6516e+141  182.883 325.64
1964 1.73475e+141  182.955 325.64
1965 1.02329e+141  183.027 325.64
1966 1.33685e+141  183.1 325.64
1967 3.36942e+141  183.172 325.879
1968 8.81409e+141  183.245 326.841
1969 2.28381e+142  183.319 327.793
1970 5.47835e+142  183.392 328.668
1971 7.7434e+142  183.466 329.014
1972 5.1814e+142  183.54 329.014
1973 2.67239e+142  183.613 329.014
1974 2.15287e+142  183.686 329.014
1975 4.89535e+142  183.759 329.014
1976 1.20885e+143  183.833 329.459
1977 2.31238e+143  183.907 330.108
1978 1.47943e+143  183.981 330.108
1979 9.30997e+142  184.054 330.108
1980 6.71594e+142  184.127 330.108
1981 1.46883e+143  184.201 330.108
1982 3.82713e+143  184.275 330.612
1983 1.00028e+144  184.349 331.573
1984 2.56724e+144  184.424 332.515
1985 5.80025e+144  184.499 333.33
1986 5.68677e+144  184.574 333.33
1987 4.04807e+144  184.648 333.33
1988 3.05753e+144  184.723 333.33
1989 6.29288e+144  184.798 333.412
1990 1.62873e+145  184.873 334.363
1991 4.25644e+145  184.948 335.323
1992 1.11106e+146  185.024 336.283
1993 2.86532e+146  185.101 337.23
1994 6.79725e+146  185.177 338.094
1995 9.13818e+146  185.254 338.39
1996 6.15886e+146  185.331 338.39
1997 3.07671e+146  185.407 338.39
1998 1.77326e+146  185.482 338.39
1999 3.36086e+146  185.558 338.39
2000 7.95574e+146  185.635 338.39
2001 1.18573e+147  185.711 338.65
2002 7.88804e+146  185.787 338.65
2003 4.75337e+146  185.863 338.65
2004 6.66193e+146  185.939 338.65
2005 1.6075e+147  186.016 338.955
2006 3.41541e+147  186.092 339.708
2007 2.83942e+147  186.169 339.708
2008 2.00567e+147  186.245 339.708
2009 1.12123e+147  186.321 339.708
2010 1.61284e+147  186.397 339.708
2011 3.79429e+147  186.473 339.814
2012 7.24138e+147  186.549 340.46
2013 4.69788e+147  186.626 340.46
2014 3.07676e+147  186.702 340.46
2015 2.3813e+147  186.777 340.46
2016 5.29749e+147  186.854 340.46
2017 1.35928e+148  186.93 341.09
2018 3.35335e+148  187.007 341.993
2019 6.12725e+148  187.084 342.595
2020 3.90679e+148  187.161 342.595
2021 2.47575e+148  187.237 342.595
2022 2.84779e+148  187.314 342.595
2023 7.04606e+148  187.39 342.735
2024 1.84219e+149  187.468 343.696
2025 4.81446e+149  187.545 344.657
2026 1.23487e+150  187.623 345.599
2027 2.77987e+150  187.702 346.41
2028 2.67299e+150  187.78 346.41
2029 1.90789e+150  187.858 346.41
2030 1.4771e+150  187.936 346.41
2031 3.09641e+150  188.014 346.518
2032 8.03059e+150  188.092 347.471
2033 2.10167e+151  188.171 348.433
2034 5.5015e+151  188.25 349.395
2035 1.43682e+152  188.33 350.355
2036 3.69248e+152  188.41 351.299
2037 8.49283e+152  188.49 352.132
2038 9.32138e+152  188.571 352.225
2039 6.49561e+152  188.651 352.225
2040 3.94613e+152  188.731 352.225
2041 6.33765e+152  188.81 352.225
2042 1.59366e+153  188.891 352.762
2043 3.98462e+153  188.971 353.678
2044 8.15155e+153  189.052 354.394
2045 5.64429e+153  189.133 354.394
2046 3.76376e+153  189.213 354.394
2047 1.87108e+153  189.293 354.394
2048 2.60867e+153  189.373 354.394
2049 6.63558e+153  189.454 354.394
2050 inf  inf inf
2051 inf  inf inf
2052 inf  inf inf
2053 inf  inf inf
2054 inf  inf inf
2055 inf  inf inf
2056 inf  inf inf
2057 inf  inf inf
2058 inf  inf inf
2059 inf  inf inf
2060 inf  inf inf
2061 inf  inf inf
2062 inf  inf inf
2063 inf  inf inf
2064 inf  inf inf
2065 inf  inf inf
2066 inf  inf inf
2067 inf  inf inf
2068 inf  inf inf
2069 inf  inf inf
2070 inf  inf inf
2071 inf  inf inf
2072 inf  inf inf
2073 inf  inf inf
2074 inf  inf inf
2075 inf  inf inf
2076 inf  inf inf
2077 inf  inf inf
2078 inf  inf inf
2079 inf  inf inf
2080 inf  inf inf
2081 inf  inf inf
2082 inf  inf inf
2083 inf  inf inf
2084 inf  inf inf
2085 inf  inf inf
2086 inf  inf inf
2087 inf  inf inf
2088 inf  inf inf
2089 inf  inf inf
2090 inf  inf inf
2091 inf  inf inf
2092 inf  inf inf
2093 inf  inf inf
2094 inf  inf inf
2095 inf  inf inf
2096 inf  inf inf
2097 inf  inf inf
2098 inf  inf inf
2099 inf  inf inf
2100 inf  inf inf
2101 inf  inf inf
2102 inf  inf inf
2103 inf  inf inf
2104 inf  inf inf
2105 inf  inf inf
2106 inf  inf inf
2107 inf  inf inf
2108 inf  inf inf
2109 inf  inf inf
2110 inf  inf inf
2111 inf  inf inf
2112 inf  inf inf
2113 inf  inf inf
2114 inf  inf inf
2115 inf  inf inf
2116 inf  inf inf
2117 inf  inf inf
2118 inf  inf inf
2119 inf  inf inf
2120 inf  inf inf
2121 inf  inf inf
2122 inf  inf inf
2123 inf  inf inf
2124 inf  inf inf
2125 inf  inf inf
2126 inf  inf inf
2127 inf  inf inf
2128 inf  inf inf
2129 inf  inf inf
2130 inf  inf inf
2131 inf  inf inf
2132 inf  inf inf
2133 inf  inf inf
2134 inf  inf inf
2135 inf  inf inf
2136 inf  inf inf
2137 inf  inf inf
2138 inf  inf inf
2139 inf  inf inf
2140 inf  inf inf
2141 inf  inf inf
2142 inf  inf inf
2143 inf  inf inf
2144 inf  inf inf
2145 inf  inf inf
2146 inf  inf inf
2147 inf  inf inf
2148 inf  inf inf
2149 inf  inf inf
2150 inf  inf inf
2151 inf  inf inf
2152 inf  inf inf
2153 inf  inf inf
2154 inf  inf inf
2155 inf  inf inf
2156 inf  inf inf
2157 inf  inf inf
2158 inf  inf inf
2159 inf  inf inf
2160 inf  inf inf
2161 inf  inf inf
2162 inf  inf inf
2163 inf  inf inf
2164 inf  inf inf
2165 inf  inf inf
2166 inf  inf inf
2167 inf  inf inf
2168 inf  inf inf
2169 inf  inf inf
2170 inf  inf inf
2171 inf  inf inf
2172 inf  inf inf
2173 inf  inf inf
2174 inf  inf inf
2175 inf  inf inf
2176 inf  inf inf
2177 inf  inf inf
2178 inf  inf inf
2179 inf  inf inf
2180 inf  inf inf
2181 inf  inf inf
2182 inf  inf inf
2183 inf  inf inf
2184 inf  inf inf
2185 inf  inf inf
2186 inf  inf inf
2187 inf  inf inf
2188 inf  inf inf
2189 inf  inf inf
2190 inf  inf inf
2191 inf  inf inf
2192 inf  inf inf
2193 inf  inf inf
2194 inf  inf inf
2195 inf  inf inf
2196 inf  inf inf
2197 inf  inf inf
2198 inf  inf inf
2199 inf  inf inf
2200 inf  inf inf
2201 inf  inf inf
2202 inf  inf inf
2203 inf  inf inf
2204 inf  inf inf
2205 inf  inf inf
2206 inf  inf inf
2207 inf  inf inf
2208 inf  inf inf
2209 inf  inf inf
2210 inf  inf inf
2211 inf  inf inf
2212 inf  inf inf
2213 inf  inf inf
2214 inf  inf inf
2215 inf  inf inf
2216 inf  inf inf
2217 inf  inf inf
2218 inf  inf inf
2219 inf  inf inf
2220 inf  inf inf
2221 inf  inf inf
2222 inf  inf inf
2223 inf  inf inf
2224 inf  inf inf
2225 inf  inf inf
2226 inf  inf inf
2227 inf  inf inf
2228 inf  inf inf
2229 inf  inf inf
2230 inf  inf inf
2231 inf  inf inf
2232 inf  inf inf
2233 inf  inf inf
2234 inf  inf inf
2235 inf  inf inf
2236 inf  inf inf
2237 inf  inf inf
2238 inf  inf inf
2239 inf  inf inf
2240 inf  inf inf
2241 inf  inf inf
2242 inf  inf inf
2243 inf  inf inf
2244 inf  inf inf
2245 inf  inf inf
2246 inf  inf inf
2247 inf  inf inf
2248 inf  inf inf
2249 inf  inf inf
2250 inf  inf inf
2251 inf  inf inf
2252 inf  inf inf
2253 inf  inf inf
2254 inf  inf inf
2255 inf  inf inf
2256 inf  inf inf
2257 inf  inf inf
2258 inf  inf inf
2259 inf  inf inf
2260 inf  inf inf
2261 inf  inf inf
2262 inf  inf inf
2263 inf  inf inf
2264 inf  inf inf
2265 inf  inf inf
2266 inf  inf inf
2267 inf  inf inf
2268 inf  inf inf
2269 inf  inf inf
2270 inf  inf inf
2271 inf  inf inf
2272 inf  inf inf
2273 inf  inf inf
2274 inf  inf inf
2275 inf  inf inf
2276 inf  inf inf
2277 inf  inf inf
2278 inf  inf inf
2279 inf  inf inf
2280 inf  inf inf
2281 inf  inf inf
2282 inf  inf inf
2283 inf  inf inf
2284 inf  inf inf
2285 inf  inf inf
2286 inf  inf inf
2287 inf  inf inf
2288 inf  inf inf
2289 inf  inf inf
2290 inf  inf inf
2291 inf  inf inf
2292 inf  inf inf
2293 inf  inf inf
2294 inf  inf inf
2295 inf  inf inf
2296 inf  inf inf
2297 inf  inf inf
2298 inf  inf inf
2299 inf  inf inf
2300 inf  inf inf
2301 inf  inf inf
2302 inf  inf inf
2303 inf  inf inf
2304 inf  inf inf
2305 inf  inf inf
2306 inf  inf inf
2307 inf  inf inf
2308 inf  inf inf
2309 inf  inf inf
2310 inf  inf inf
2311 inf  inf inf
2312 inf  inf inf
2313 inf  inf inf
2314 inf  inf inf
2315 inf  inf inf
2316 inf  inf inf
2317 inf  inf inf
2318 inf  inf inf
2319 inf  inf inf
2320 inf  inf inf
2321 inf  inf inf
2322 inf  inf inf
2323 inf  inf inf
2324 inf  inf inf
2325 inf  inf inf
2326 inf  inf inf
2327 inf  inf inf
2328 inf  inf inf
2329 inf  inf inf
2330 inf  inf inf
2331 inf  inf inf
2332 inf  inf inf
2333 inf  inf inf
2334 inf  inf inf
2335 inf  inf inf
2336 inf  inf inf
2337 inf  inf inf
2338 inf  inf inf
2339 inf  inf inf
2340 inf  inf inf
2341 inf  inf inf
2342 inf  inf inf
2343 inf  inf inf
2344 inf  inf inf
2345 inf  inf inf
2346 inf  inf inf
2347 inf  inf inf
2348 inf  inf inf
2349 inf  inf inf
2350 inf  inf inf
2351 inf  inf inf
2352 inf  inf inf
2353 inf  inf inf
2354 inf  inf inf
2355 inf  inf inf
2356 inf  inf inf
2357 inf  inf inf
2358 inf  inf inf
2359 inf  inf inf
2360 inf  inf inf
2361 inf  inf inf
2362 inf  inf inf
2363 inf  inf inf
2364 inf  inf inf
2365 inf  inf inf
2366 inf  inf inf
2367 inf  inf inf
2368 inf  inf inf
2369 inf  inf inf
2370 inf  inf inf
2371 inf  inf inf
2372 inf  inf inf
2373 inf  inf inf
2374 inf  inf inf
2375 inf  inf inf
2376 inf  inf inf
2377 inf  inf inf
2378 inf  inf inf
2379 inf  inf inf
2380 inf  inf inf
2381 inf  inf inf
2382 inf  inf inf
2383 inf  inf inf
2384 inf  inf inf
2385 inf  inf inf
2386 inf  inf inf
2387 inf  inf inf
2388 inf  inf inf
2389 inf  inf inf
2390 inf  inf inf
2391 inf  inf inf
2392 inf  inf inf
2393 inf  inf inf
2394 inf  inf inf
2395 inf  inf inf
2396 inf  inf inf
2397 inf  inf inf
2398 inf  inf inf
2399 inf  inf inf
2400 inf  inf inf
2401 inf  inf inf
2402 inf  inf inf
2403 inf  inf inf
2404 inf  inf inf
2405 inf  inf inf
2406 inf  inf inf
2407 inf  inf inf
2408 inf  inf inf
2409 inf  inf inf
2410 inf  inf inf
2411 inf  inf inf
2412 inf  inf inf
2413 inf  inf inf
2414 inf  inf inf
2415 inf  inf inf
2416 inf  inf inf
2417 inf  inf inf
2418 inf  inf inf
2419 inf  inf inf
2420 inf  inf inf
2421 inf  inf inf
2422 inf  inf inf
2423 inf  inf inf
2424 inf  inf inf
2425 inf  inf inf
2426 inf  inf inf
2427 inf  inf inf
2428 inf  inf inf
2429 inf  inf inf
2430 inf  inf inf
2431 inf  inf inf
2432 inf  inf inf
2433 inf  inf inf
2434 inf  inf inf
2435 inf  inf inf
2436 inf  inf inf
2437 inf  inf inf
2438 inf  inf inf
2439 inf  inf inf
2440 inf  inf inf
2441 inf  inf inf
2442 inf  inf inf
2443 inf  inf inf
2444 inf  inf inf
2445 inf  inf inf
2446 inf  inf inf
2447 inf  inf inf
2448 inf  inf inf
2449 inf  inf inf
2450 inf  inf inf
2451 inf  inf inf
2452 inf  inf inf
2453 inf  inf inf
2454 inf  inf inf
2455 inf  inf inf
2456 inf  inf inf
2457 inf  inf inf
2458 inf  inf inf
2459 inf  inf inf
2460 inf  inf inf
2461 inf  inf inf
2462 inf  inf inf
2463 inf  inf inf
2464 inf  inf inf
2465 inf  inf inf
2466 inf  inf inf
2467 inf  inf inf
2468 inf  inf inf
2469 inf  inf inf
2470 inf  inf inf
2471 inf  inf inf
2472 inf  inf inf
2473 inf  inf inf
2474 inf  inf inf
2475 inf  inf inf
2476 inf  inf inf
2477 inf  inf inf
2478 inf  inf inf
2479 inf  inf inf
2480 inf  inf inf
2481 inf  inf inf
2482 inf  inf inf
2483 inf  inf inf
2484 inf  inf inf
2485 inf  inf inf
2486 inf  inf inf
2487 inf  inf inf
2488 inf  inf inf
2489 inf  inf inf
2490 inf  inf inf
2491 inf  inf inf
2492 inf  inf inf
2493 inf  inf inf
2494 inf  inf inf
2495 inf  inf inf
2496 inf  inf inf
2497 inf  inf inf
2498 inf  inf inf
2499 inf  inf inf
2500 inf  inf inf
2501 inf  inf inf
2502 inf  inf inf
2503 inf  inf inf
2504 inf  inf inf
2505 inf  inf inf
2506 inf  inf inf
2507 inf  inf inf
2508 inf  inf inf
2509 inf  inf inf
2510 inf  inf inf
2511 inf  inf inf
2512 inf  inf inf
2513 inf  inf inf
2514 inf  inf inf
2515 inf  inf inf
2516 inf  inf inf
2517 inf  inf inf
2518 inf  inf inf
2519 inf  inf inf
2520 inf  inf inf
2521 inf  inf inf
2522 inf  inf inf
2523 inf  inf inf
2524 inf  inf inf
2525 inf  inf inf
2526 inf  inf inf
2527 inf  inf inf
2528 inf  inf inf
2529 inf  inf inf
2530 inf  inf inf
2531 inf  inf inf
2532 inf  inf inf
2533 inf  inf inf
2534 inf  inf inf
2535 inf  inf inf
2536 inf  inf inf
2537 inf  inf inf
2538 inf  inf inf
2539 inf  inf inf
2540 inf  inf inf
2541 inf  inf inf
2542 inf  inf inf
2543 inf  inf inf
2544 inf  inf inf
2545 inf  inf inf
2546 inf  inf inf
2547 inf  inf inf
2548 inf  inf inf
2549 inf  inf inf
2550 inf  inf inf
2551 inf  inf inf
2552 inf  inf inf
2553 inf  inf inf
2554 inf  inf inf
2555 inf  inf inf
2556 inf  inf inf
2557 inf  inf inf
2558 inf  inf inf
2559 inf  inf inf
2560 inf  inf inf
2561 inf  inf inf
2562 inf  inf inf
2563 inf  inf inf
2564 inf  inf inf
2565 inf  inf inf
2566 inf  inf inf
2567 inf  inf inf
2568 inf  inf inf
2569 inf  inf inf
2570 inf  inf inf
2571 inf  inf inf
2572 inf  inf inf
2573 inf  inf inf
2574 inf  inf inf
2575 inf  inf inf
2576 inf  inf inf
2577 inf  inf inf
2578 inf  inf inf
2579 inf  inf inf
2580 inf  inf inf
2581 inf  inf inf
2582 inf  inf inf
2583 inf  inf inf
2584 inf  inf inf
2585 inf  inf inf
2586 inf  inf inf
2587 inf  inf inf
2588 inf  inf inf
2589 inf  inf inf
2590 inf  inf inf
2591 inf  inf inf
2592 inf  inf inf
2593 inf  inf inf
2594 inf  inf inf
2595 inf  inf inf
2596 inf  inf inf
2597 inf  inf inf
2598 inf  inf inf
2599 inf  inf inf
2600 inf  inf inf
2601 inf  inf inf
2602 inf  inf inf
2603 inf  inf inf
2604 inf  inf inf
2605 inf  inf inf
2606 inf  inf inf
2607 inf  inf inf
2608 inf  inf inf
2609 inf  inf inf
2610 inf  inf inf
2611 inf  inf inf
2612 inf  inf inf
2613 inf  inf inf
2614 inf  inf inf
2615 inf  inf inf
2616 inf  inf inf
2617 inf  inf inf
2618 inf  inf inf
2619 inf  inf inf
2620 inf  inf inf
2621 inf  inf inf
2622 inf  inf inf
2623 inf  inf inf
2624 inf  inf inf
2625 inf  inf inf
2626 inf  inf inf
2627 inf  inf inf
2628 inf  inf inf
2629 inf  inf inf
2630 inf  inf inf
2631 inf  inf inf
2632 inf  inf inf
2633 inf  inf inf
2634 inf  inf inf
2635 inf  inf inf
