0.715176	1.049055	-1.02
0.235161	1.229716	-1
0.774020	1.037272	-0.98
0.205707	1.253451	-0.96
0.811322	1.030321	-0.94
0.215357	1.245269	-0.92
0.453924	1.119444	-0.9
0.531437	1.094513	-0.88
0.177679	1.279956	-0.86
0.121616	1.351188	-0.84
0.016667	1.794819	-0.82
0.351798	1.160955	-0.8
0.828777	1.027192	-0.78
0.429701	1.128249	-0.76
0.545974	1.090302	-0.74
0.471543	1.113371	-0.72
0.763023	1.039394	-0.7
0.871237	1.019887	-0.68
0.874577	1.019329	-0.66
0.976895	1.003345	-0.64
0.529793	1.094998	-0.62
0.339876	1.166686	-0.6
0.544193	1.090811	-0.58
0.246765	1.221284	-0.56
0.644086	1.064863	-0.54
0.606629	1.074017	-0.52
0.521826	1.097371	-0.5
0.579466	1.081068	-0.48
0.505090	1.102493	-0.46
0.838369	1.025505	-0.44
0.127160	1.342610	-0.42
0.220265	1.241266	-0.4
0.073530	1.451889	-0.38
0.901180	1.014975	-0.36
0.425972	1.129654	-0.34
0.884852	1.017630	-0.32
0.116536	1.359448	-0.3
0.879896	1.018447	-0.28
0.416289	1.133371	-0.26
0.294215	1.190982	-0.24
0.001512	2.528829	-0.22
0.432956	1.127033	-0.2
0.646013	1.064409	-0.18
0.830289	1.026925	-0.16
0.862657	1.021330	-0.14
0.191987	1.265872	-0.12
0.301832	1.186641	-0.1
0.625681	1.069283	-0.08
0.063224	1.483551	-0.06
0.176409	1.281268	-0.04
0.602575	1.075046	-0.02
0.593017	1.077504	2.08167e-17
0.516285	1.099046	0.02
0.146768	1.315385	0.04
0.839782	1.025258	0.06
0.160371	1.298833	0.08
0.753397	1.041281	0.1
0.361608	1.156402	0.12
0.739837	1.043986	0.14
0.258487	1.213214	0.16
0.199976	1.258520	0.18
0.866997	1.020598	0.2
0.478752	1.110960	0.22
0.273506	1.203464	0.24
0.768177	1.038395	0.26
0.904724	1.014406	0.28
0.158358	1.301179	0.3
0.884713	1.017653	0.32
0.784621	1.035258	0.34
0.574647	1.082359	0.36
0.178928	1.278675	0.38
0.786133	1.034973	0.4
0.007603	2.007763	0.42
0.824941	1.027873	0.44
0.616422	1.071562	0.46
0.870261	1.020050	0.48
0.016928	1.790841	0.5
0.918254	1.012258	0.52
0.495941	1.105376	0.54
0.080152	1.434114	0.56
0.094663	1.400425	0.58
0.098516	1.392466	0.6
0.673169	1.058166	0.62
0.610949	1.072928	0.64
0.245284	1.222335	0.66
0.512951	1.100063	0.68
0.771320	1.037790	0.7
0.998681	1.000189	0.72
0.874559	1.019332	0.74
0.511157	1.100614	0.76
0.257167	1.214101	0.78
0.074535	1.449077	0.8
0.378154	1.149034	0.82
0.735919	1.044779	0.84
0.348041	1.162737	0.86
0.146332	1.315944	0.88
0.640643	1.065679	0.9
0.506400	1.102085	0.92
0.031045	1.642214	0.94
0.425264	1.129923	0.96
